sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,5568.0,1.08,1.01,0.22,0.0,4.38
1,5663.55,0.9,1.01,0.284,-0.129,4.54
1,6140.0,1.24,1.16,0.12,0.295,4.32
1,6158.0,1.24,1.22,0.17,0.294,4.34
2,5246.0,0.84,0.86,0.0,-0.319,4.52
2,5336.96,0.84,0.92,0.051,-0.289,4.55
1,4790.0,0.74,0.77,0.14,-0.585,4.59
1,4803.0,0.75,0.77,0.1,-0.569,4.57
1,5007.0,0.8,0.83,0.32,-0.446,4.56
1,4962.0,0.77,0.81,0.166,-0.485,4.57
1,4990.0,0.82,0.84,0.23,-0.432,4.54
2,6290.0,1.47,1.3,0.12,0.485,4.21
2,6290.0,1.51,1.31,0.12,0.505,4.2
2,6412.83,1.7,1.29,0.054,0.646,4.09
2,6290.0,1.64,1.36,0.14,0.577,4.16
1,4595.0,0.69,0.76,0.35,-0.721,4.63
1,4604.03,0.68,0.73,0.211,-0.73,4.64
1,5634.0,1.26,1.0,0.04,0.156,4.24
1,5588.0,1.1,0.95,0.01,0.025,4.33
1,5357.72,1.04,0.93,0.283,-0.094,4.37
1,5302.0,1.04,0.92,0.24,-0.114,4.36
1,5905.0,1.2,1.13,0.15,0.199,4.33
1,5918.23,1.15,1.08,0.156,0.166,4.35
1,6329.0,1.42,1.25,-0.21,0.464,4.23
1,6373.0,1.32,1.19,-0.16,0.408,4.27
1,5610.0,0.91,0.99,0.42,-0.134,4.52
1,5500.0,0.96,1.01,0.31,-0.125,4.48
1,5519.0,0.92,1.01,0.294,-0.152,4.52
1,5079.0,0.79,0.82,-0.04,-0.42,4.56
1,5061.9,0.86,0.85,0.028,-0.359,4.5
1,5300.0,0.9,0.94,0.29,-0.244,4.51
1,5316.0,0.86,0.92,0.3,-0.269,4.53
1,5698.38,1.05,1.01,0.158,0.017,4.4
1,5680.0,1.1,1.02,0.12,0.053,4.36
1,6086.0,1.23,1.14,0.14,0.272,4.32
1,6087.0,1.22,1.21,0.21,0.265,4.34
1,6115.0,1.24,1.2,0.128,0.283,4.33
1,5185.0,0.82,0.94,0.27,-0.355,4.61
1,5185.0,0.8,0.92,0.27,-0.362,4.59
1,5224.0,0.82,0.89,0.41,-0.344,4.56
1,5185.0,0.83,0.93,0.27,-0.348,4.56
1,6304.0,1.22,1.24,0.13,0.312,4.36
1,6338.0,1.34,1.25,0.12,0.417,4.28
1,6001.0,1.37,1.13,-0.16,0.338,4.22
1,6642.28,1.67,1.4,0.021,0.689,4.14
1,6509.0,1.57,1.34,0.08,0.6,4.17
1,6178.0,1.36,1.18,0.12,0.383,4.24
1,5555.05,1.07,0.98,0.269,-0.006,4.37
1,5560.0,1.11,1.05,0.26,0.022,4.37
1,5981.01,1.6,1.1,0.275,0.469,4.07
1,5988.84,1.34,1.1,0.183,0.321,4.22
1,5860.0,1.59,1.26,0.24,0.428,4.14
1,6479.0,1.65,1.32,0.13,0.636,4.12
1,5743.0,1.53,1.18,0.27,0.356,4.14
1,5645.0,1.1,1.05,0.23,0.045,4.37
1,5680.35,1.11,1.01,0.171,0.06,4.35
2,5295.0,0.95,0.94,0.33,-0.194,4.46
2,5115.16,1.03,0.86,0.367,-0.182,4.34
1,6330.0,1.32,1.26,0.07,0.4,4.3
1,6120.0,1.4,1.28,0.3,0.391,4.25
1,6820.0,1.83,1.54,0.074,0.814,4.1
1,5833.0,1.13,1.05,0.11,0.124,4.35
1,5960.0,1.17,1.16,0.24,0.187,4.37
1,6280.0,1.7,1.27,-0.18,0.603,4.07
1,6321.7,1.73,1.25,-0.134,0.634,4.06
1,5425.95,1.01,0.95,0.29,-0.101,4.41
1,5453.0,0.99,0.96,0.302,-0.102,4.43
1,5449.0,1.04,0.98,0.27,-0.066,4.39
1,5131.0,0.89,0.89,0.28,-0.305,4.48
1,5032.08,0.86,0.84,0.288,-0.373,4.5
1,5956.0,1.21,1.09,0.0,0.217,4.31
1,4133.4,0.76,0.65,0.145,-0.819,4.49
1,4390.0,0.62,0.65,-0.127,-0.902,4.67
1,5804.0,1.1,1.03,0.003,0.097,4.36
1,6635.91,1.47,1.39,-0.057,0.577,4.25
1,7500.0,1.5,1.47,-0.25,0.806,4.25
1,6078.0,1.53,1.03,-0.224,0.456,4.08
1,5678.0,1.1,1.01,0.217,0.054,4.36
1,6570.0,1.46,1.29,-0.13,0.553,4.22
1,6893.36,1.57,1.5,-0.034,0.702,4.22
1,6212.0,2.2,1.44,0.037,0.809,3.91
1,5587.0,0.94,1.0,0.194,-0.115,4.5
1,5464.2,1.03,0.95,0.38,-0.073,4.4
