sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,4906.00,10.15,,,,
1,4847.40,9.90,1.80,-0.030,,2.57
1,,,,,,
1,4845.00,,1.74,-0.070,,2.45
1,4844.29,11.29,,0.004,,
1,4734.00,11.21,1.23,-0.110,1.760,2.41
1,,,,,,
1,,,1.60,,,
1,,,,,,
1,4829.75,11.43,,,1.806,
1,4785.00,11.00,2.40,-0.060,1.778,2.35
1,,,,,,
1,,,,,,
1,4700.00,10.58,,,1.692,
1,4658.92,10.39,,-0.016,,
1,,,,,,
1,,,,,,
1,,,,,,
1,4665.00,11.00,1.40,-0.030,,2.52
1,4681.00,,1.32,0.000,,2.65
1,7920.00,2.96,1.90,,1.492,3.77
1,9770.00,,2.40,,1.771,
1,,,,,,
1,5027.00,1.02,0.84,,-0.224,4.35
1,,,,,,
1,5378.00,0.73,0.90,-0.050,-0.400,4.44
1,5285.00,,,0.040,,4.53
1,5068.50,1.00,,,-0.226,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,6496.00,1.22,1.27,0.290,0.290,4.37
1,6100.00,1.25,1.20,,,4.40
1,6140.00,,1.13,,,
1,6409.37,1.08,1.29,0.290,0.247,4.48
1,6130.00,1.25,1.20,0.190,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,1.22,1.27,,,4.37
3,,,,,,
3,,0.70,0.66,,,4.57
3,3588.00,0.70,,,,4.60
3,3753.00,0.70,0.54,,-1.046,
3,,,0.50,,,
3,,,,,,
3,3992.36,0.61,,,-1.065,
3,3700.00,0.75,0.50,,-1.046,
3,,,,,,
3,3700.00,0.75,0.50,,-1.046,4.39
3,,,,,,
3,3678.00,0.74,0.51,0.230,-1.038,4.40
3,,0.75,,,,
3,,,,,,
3,3665.00,0.82,0.60,0.120,-0.990,4.52
3,3700.00,0.75,0.50,,-1.046,4.39
3,3700.00,0.75,0.50,,,
1,4095.00,32.35,1.14,-0.710,2.700,1.89
1,4095.00,37.76,,,2.558,
1,4095.00,38.83,,-0.710,,
1,5008.00,0.95,0.86,0.100,-0.320,4.60
1,4864.00,0.86,0.79,0.170,-0.425,4.46
1,4864.00,,0.82,0.170,,4.26
1,4869.17,0.86,,,-0.424,
1,4864.00,0.86,0.49,0.170,,4.26
1,4758.47,10.84,,,1.735,
1,4649.00,11.80,,-0.220,,
1,4649.00,8.95,1.08,-0.220,1.570,2.61
1,,,,,,
1,4796.00,10.76,,-0.280,,
1,4796.00,10.49,,,1.720,
1,4796.00,14.70,1.10,0.280,2.010,2.80
2,4181.98,46.05,,-0.806,,
2,4137.00,49.00,2.80,-1.000,3.170,1.51
2,4329.90,43.02,,,2.768,
2,4259.00,71.02,10.83,-0.790,,1.77
2,4259.00,,1.06,-0.790,,1.77
1,4322.65,41.32,,,2.730,
1,4391.00,,1.17,-0.320,,2.03
1,4296.00,17.30,0.80,-0.460,1.960,1.99
1,4296.00,43.41,,-0.460,,
1,5651.76,1.24,1.00,-0.175,0.154,4.25
1,5703.00,0.96,0.96,-0.060,,4.38
1,5456.77,1.19,,,0.050,
1,5766.00,0.93,0.96,-0.150,-0.056,4.50
1,5766.00,1.08,1.67,-0.150,,4.50
1,5004.00,,0.81,-0.090,,4.22
1,5087.09,0.81,0.85,0.090,-0.399,4.55
1,4658.00,,1.19,-0.090,,2.62
1,4435.00,33.38,,-0.237,,
1,4329.90,29.88,,,2.451,
1,4414.00,11.00,0.74,-0.200,1.690,2.24
1,4519.00,11.10,0.74,0.240,1.690,2.51
1,4534.00,26.63,,-0.130,,
1,4435.05,25.34,,,2.350,
1,,,,,,
1,4534.00,10.33,1.09,-0.130,1.640,2.48
1,4943.00,7.60,1.52,-0.190,1.470,2.85
1,4717.82,9.86,,,1.637,
1,4943.00,9.20,,-0.190,,
1,5092.00,0.90,0.85,,-0.313,4.46
1,5012.00,,0.91,0.180,,4.09
1,4993.00,0.80,0.83,,-0.449,4.55
1,4993.00,0.80,1.00,,0.356,4.55
1,5000.00,,0.82,-0.090,,4.20
1,5000.00,,0.82,-0.090,,4.20
1,5073.00,0.80,0.85,,-0.413,4.56
1,5141.97,0.84,0.87,0.019,-0.350,4.53
1,5040.00,,0.81,-0.140,,4.25
2,4042.00,0.69,0.63,,-0.946,4.56
2,4060.00,0.67,0.57,,-0.959,
2,4324.00,,0.70,-0.140,-1.022,4.74
2,,,,,,
2,4081.58,0.67,,,-0.956,
2,4757.23,0.72,,,-0.626,
2,4816.00,0.71,0.50,-0.060,,4.43
2,4746.00,,0.74,-0.070,,4.13
2,4816.00,0.69,0.78,-0.060,-0.634,4.65
1,5388.00,0.80,1.00,0.420,-0.313,4.44
1,,0.84,0.92,,,4.57
1,,,,,,
1,5393.00,0.91,1.47,0.380,,4.69
1,5335.50,0.94,,,-0.191,
1,5393.00,,1.01,0.382,,4.68
1,5400.00,,1.10,0.500,,4.40
1,5382.64,0.97,1.00,0.370,,4.46
1,5314.00,0.95,0.92,0.310,-0.192,4.45
2,4550.00,0.64,0.65,-0.350,-0.804,4.64
2,,,,,,
2,4217.00,0.67,0.66,,-0.888,4.60
2,4191.60,0.69,,,-0.881,
2,4228.00,0.67,0.59,,-0.886,
2,4475.00,0.52,0.57,-0.480,,4.10
1,,,2.40,,,
1,4717.52,17.11,,-0.036,,
1,4572.33,16.74,,,2.043,
1,,,,,,
1,4545.00,19.17,2.12,-0.080,,2.20
1,6190.00,0.96,0.99,-0.370,0.090,4.47
1,,,,,,
1,6736.90,2.61,,,,3.76
1,6736.88,2.61,1.44,-0.209,1.101,3.76
1,6935.00,2.35,1.41,-0.340,1.060,3.85
1,4669.69,0.72,,,-0.651,
1,4714.00,0.69,0.74,-0.030,-0.678,4.26
1,4665.00,0.74,0.31,0.010,,4.19
1,,,,,,
1,4665.00,0.72,0.74,0.010,-0.651,4.59
2,,,,,,
2,4152.00,0.65,0.57,,-0.921,
2,4051.00,0.75,0.68,0.120,-0.870,4.67
2,,,0.69,,,
2,4059.00,0.74,0.64,,-0.875,4.51
1,3130.00,0.17,0.16,0.130,-2.533,4.93
1,3022.00,0.20,0.17,,-2.531,5.07
1,580.50,,0.02,,,4.72
1,2320.00,0.24,0.01,,-2.850,3.85
1,,,0.35,,,
1,3099.00,,,,,
1,3807.00,1.68,,,,
1,,,0.90,,-0.108,
1,3635.00,1.88,,,-0.255,
1,3397.00,0.39,0.38,,-1.744,4.84
1,3406.00,0.39,0.37,0.000,-1.732,4.83
1,,,,,,
1,4464.00,1.81,,,,
1,,,,,,
1,4200.20,1.68,,,-0.102,
1,4403.00,,,-0.560,,3.66
1,5907.67,1.35,,,0.298,
1,6298.00,1.23,1.22,0.060,,
1,5950.00,,,-0.300,,4.25
1,5950.00,1.14,1.03,,,
1,5950.00,1.11,0.95,-0.300,,4.25
